"date","Baker","Calhoun","Colquitt","Decatur","Dougherty","Early","Grady","Lee","Miller","Mitchell","Seminole","Terrell","Thomas","Worth","NewCaseTotal"
2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,6,0,0,1,0,0,0,0,0,0,7
2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-03-19,0,0,0,0,13,2,0,1,0,0,0,0,0,0,16
2020-03-20,0,0,0,0,24,0,0,10,1,0,0,2,0,2,39
2020-03-21,0,0,0,0,3,0,0,1,0,0,0,0,0,0,4
2020-03-22,0,0,0,0,5,0,0,2,0,0,0,0,0,0,7
2020-03-23,0,0,0,0,17,0,0,3,0,0,0,0,0,1,21
2020-03-24,3,0,1,0,32,3,0,5,0,4,2,1,0,1,52
2020-03-25,0,0,1,1,22,1,0,1,1,0,0,1,1,-1,28
2020-03-26,-2,1,2,1,41,1,0,4,0,6,0,1,0,3,58
2020-03-27,0,1,1,1,39,6,0,8,1,4,0,1,2,1,65
2020-03-28,0,1,0,1,21,3,0,2,1,1,1,4,4,1,40
2020-03-29,0,0,1,0,23,0,0,4,0,0,2,0,0,2,32
2020-03-30,0,3,1,2,31,4,0,1,1,1,2,10,0,2,58
2020-03-31,3,3,13,2,188,12,1,46,-1,18,-1,20,3,16,323
2020-04-01,0,1,1,0,24,2,1,4,0,5,-1,6,4,0,47
2020-04-02,0,0,7,2,31,8,0,10,0,1,1,1,3,0,64
2020-04-03,0,1,16,6,86,19,1,19,7,6,2,3,9,5,180
2020-04-04,1,4,5,0,78,3,0,11,-1,7,0,7,0,3,118
2020-04-05,0,2,2,1,3,6,0,4,4,3,1,1,2,1,30
2020-04-06,0,3,10,-4,34,11,1,10,1,3,0,8,0,2,79
2020-04-07,5,11,9,8,251,15,2,56,-4,41,4,26,14,21,459
2020-04-08,-1,4,9,1,28,1,2,6,-2,13,0,3,14,5,83
2020-04-09,2,2,0,3,41,8,5,7,0,5,0,3,16,5,97
2020-04-10,0,2,1,2,30,2,2,13,1,17,1,5,2,8,86
2020-04-11,2,2,4,1,30,13,0,6,0,1,0,3,2,2,66
2020-04-12,1,4,3,1,76,5,0,8,1,2,1,3,1,7,113
2020-04-13,2,8,1,10,67,3,3,11,2,12,1,9,1,9,139
2020-04-14,0,1,0,7,52,9,3,3,2,14,0,16,11,3,121
2020-04-15,1,5,2,5,23,8,2,6,4,12,3,3,20,12,106
2020-04-16,1,0,15,4,38,3,3,3,1,17,2,0,3,3,93
2020-04-17,-2,-2,3,0,27,15,1,2,0,16,-1,5,3,2,69
2020-04-18,0,0,12,0,24,2,0,3,0,3,0,4,0,3,51
2020-04-19,1,1,5,7,16,5,4,2,2,-9,2,2,10,3,51
2020-04-20,3,3,20,-2,11,3,3,2,1,7,3,2,1,6,63
2020-04-21,0,14,11,-7,20,1,4,1,0,44,1,6,17,12,124
2020-04-22,-2,1,2,-3,23,10,2,17,1,26,1,3,5,2,88
2020-04-23,1,6,5,11,-1,1,7,4,2,10,0,3,10,0,59
2020-04-24,0,2,2,-2,-13,3,1,-1,-2,-2,0,3,-1,-4,-14
2020-04-25,0,2,0,1,5,6,0,2,4,-1,0,0,0,2,21
2020-04-26,0,-1,0,0,0,4,0,3,1,3,0,0,1,1,12
2020-04-27,2,2,7,4,10,4,6,5,0,0,2,2,4,2,50
2020-04-28,0,0,7,2,11,0,4,5,0,3,1,3,11,1,48
2020-04-29,0,3,2,14,7,12,5,1,2,11,0,7,5,5,74
2020-04-30,2,9,4,2,7,0,0,4,2,6,-1,6,8,4,53
2020-05-01,0,4,2,5,25,0,1,4,0,8,1,1,4,6,61
